symbol,year,month,day,price
ETH,2019,3,23,138.24
ETH,2019,3,24,136.99
ETH,2019,3,25,135.03
ETH,2019,3,26,135.46
ETH,2019,3,27,140.99
ETH,2019,3,28,139.42
ETH,2019,3,29,142.50
ETH,2019,3,30,142.09
ETH,2019,3,31,141.51
ETH,2019,4,1,141.83
ETH,2019,4,2,163.96
ETH,2019,4,3,161.46
ETH,2019,4,4,158.05
ETH,2019,4,5,165.51
ETH,2019,4,6,165.95
ETH,2019,4,7,174.53
ETH,2019,4,8,180.26
ETH,2019,4,9,176.11
ETH,2019,4,10,177.34
ETH,2019,4,11,165.50
ETH,2019,4,12,164.74
ETH,2019,4,13,164.51
ETH,2019,4,14,167.84
ETH,2019,4,15,161.57
ETH,2019,4,16,167.62
XRP,2018,4,1,0.49
XRP,2018,4,2,0.50
XRP,2018,4,3,0.56
XRP,2018,4,4,0.50
XRP,2018,4,5,0.50
XRP,2018,4,6,0.48
XRP,2018,4,7,0.49
XRP,2018,4,8,0.50
XRP,2018,4,9,0.49
XRP,2018,4,10,0.49
XRP,2018,4,11,0.54
XRP,2018,4,12,0.63
XRP,2018,4,13,0.64
XRP,2018,4,14,0.63
XRP,2018,4,15,0.68
XRP,2018,4,16,0.66
XRP,2018,4,17,0.66
XRP,2018,4,18,0.71
XRP,2018,4,19,0.79
XRP,2018,4,20,0.92
XRP,2018,4,21,0.87
XRP,2018,4,22,0.87
XRP,2018,4,23,0.88
XRP,2018,4,24,0.93
XRP,2018,4,25,0.80
XRP,2018,4,26,0.85
XRP,2018,4,27,0.81
XRP,2018,4,28,0.86
XRP,2018,4,29,0.87
XRP,2018,4,30,0.84
XRP,2018,5,1,0.84
XRP,2018,5,2,0.86
XRP,2018,5,3,0.88
XRP,2018,5,4,0.90
XRP,2018,5,5,0.91
XRP,2018,5,6,0.87
XRP,2018,5,7,0.83
XRP,2018,5,8,0.81
XRP,2018,5,9,0.80
XRP,2018,5,10,0.76
XRP,2018,5,11,0.68
XRP,2018,5,12,0.70
XRP,2018,5,13,0.75
XRP,2018,5,14,0.74
XRP,2018,5,15,0.70
XRP,2018,5,16,0.71
XRP,2018,5,17,0.67
XRP,2018,5,18,0.68
XRP,2018,5,19,0.68
XRP,2018,5,20,0.70
XRP,2018,5,21,0.68
XRP,2018,5,22,0.65
XRP,2018,5,23,0.60
XRP,2018,5,24,0.63
XRP,2018,5,25,0.61
XRP,2018,5,26,0.61
XRP,2018,5,27,0.61
XRP,2018,5,28,0.55
XRP,2018,5,29,0.60
XRP,2018,5,30,0.61
XRP,2018,5,31,0.61
XRP,2018,6,1,0.62
XRP,2018,6,2,0.64
XRP,2018,6,3,0.67
XRP,2018,6,4,0.66
XRP,2018,6,5,0.68
XRP,2018,6,6,0.67
XRP,2018,6,7,0.68
XRP,2018,6,8,0.67
XRP,2018,6,9,0.66
XRP,2018,6,10,0.59
XRP,2018,6,11,0.60
XRP,2018,6,12,0.56
XRP,2018,6,13,0.53
XRP,2018,6,14,0.56
XRP,2018,6,15,0.54
XRP,2018,6,16,0.53
XRP,2018,6,17,0.53
XRP,2018,6,18,0.54
XRP,2018,6,19,0.55
XRP,2018,6,20,0.54
XRP,2018,6,21,0.53
XRP,2018,6,22,0.49
XRP,2018,6,23,0.49
XRP,2018,6,24,0.48
XRP,2018,6,25,0.48
XRP,2018,6,26,0.46
XRP,2018,6,27,0.47
XRP,2018,6,28,0.45
XRP,2018,6,29,0.45
XRP,2018,6,30,0.47
XRP,2018,7,1,0.46
XRP,2018,7,2,0.49
XRP,2018,7,3,0.49
XRP,2018,7,4,0.49
XRP,2018,7,5,0.48
XRP,2018,7,6,0.48
XRP,2018,7,7,0.49
XRP,2018,7,8,0.48
XRP,2018,7,9,0.47
XRP,2018,7,10,0.45
XRP,2018,7,11,0.45
XRP,2018,7,12,0.44
XRP,2018,7,13,0.44
XRP,2018,7,14,0.44
XRP,2018,7,15,0.45
XRP,2018,7,16,0.48
XRP,2018,7,17,0.51
XRP,2018,7,18,0.49
XRP,2018,7,19,0.48
XRP,2018,7,20,0.45
XRP,2018,7,21,0.46
XRP,2018,7,22,0.45
XRP,2018,7,23,0.45
XRP,2018,7,24,0.46
XRP,2018,7,25,0.46
XRP,2018,7,26,0.45
XRP,2018,7,27,0.45
XRP,2018,7,28,0.45
XRP,2018,7,29,0.45
XRP,2018,7,30,0.45
XRP,2018,7,31,0.44
XRP,2018,8,1,0.45
XRP,2018,8,2,0.43
XRP,2018,8,3,0.44
XRP,2018,8,4,0.43
XRP,2018,8,5,0.43
XRP,2018,8,6,0.41
XRP,2018,8,7,0.38
XRP,2018,8,8,0.33
XRP,2018,8,9,0.35
XRP,2018,8,10,0.32
XRP,2018,8,11,0.30
XRP,2018,8,12,0.30
XRP,2018,8,13,0.28
XRP,2018,8,14,0.27
XRP,2018,8,15,0.28
XRP,2018,8,16,0.29
XRP,2018,8,17,0.37
XRP,2018,8,18,0.33
XRP,2018,8,19,0.34
XRP,2018,8,20,0.32
XRP,2018,8,21,0.34
XRP,2018,8,22,0.32
XRP,2018,8,23,0.33
XRP,2018,8,24,0.33
XRP,2018,8,25,0.33
XRP,2018,8,26,0.32
XRP,2018,8,27,0.34
XRP,2018,8,28,0.35
XRP,2018,8,29,0.34
XRP,2018,8,30,0.34
XRP,2018,8,31,0.34
XRP,2018,9,1,0.35
XRP,2018,9,2,0.34
XRP,2018,9,3,0.34
XRP,2018,9,4,0.33
XRP,2018,9,5,0.28
XRP,2018,9,6,0.30
XRP,2018,9,7,0.29
XRP,2018,9,8,0.28
XRP,2018,9,9,0.28
XRP,2018,9,10,0.27
XRP,2018,9,11,0.26
XRP,2018,9,12,0.27
XRP,2018,9,13,0.28
XRP,2018,9,14,0.28
XRP,2018,9,15,0.28
XRP,2018,9,16,0.28
XRP,2018,9,17,0.27
XRP,2018,9,18,0.32
XRP,2018,9,19,0.33
XRP,2018,9,20,0.45
XRP,2018,9,21,0.56
